test_stimulus,presence,corr_key_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,
yellow,no,n,n,1,0.6786587,,Accuracy,1
green,yes,y,y,1,0.355411,,mean_rt,0.56670432
purple,no,n,n,1,0.7403587,,SD,0.232221301
red,yes,y,y,1,0.2789363,,,
cyan,yes,y,y,1,0.7801569,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character2.png,yes,y,y,1,1.8518244,,Accuracy,0.8
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character4.png,no,n,y,0,3.2634981,,mean_rt,0.918083225
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character1.jpg,yes,y,y,1,0.2012481,,SD,0.688209826
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character3.jpg,yes,y,y,1,0.8859486,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character5.png,no,n,n,1,0.7333118,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob3.jpg,yes,y,y,1,1.4121323,,Accuracy,0.6
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob1.jpg,yes,y,n,0,2.6945924,,mean_rt,1.0621213
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob5.jpg,no,n,y,0,0.9756474,,SD,0.303126035
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob2.jpg,yes,y,y,1,0.8892648,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob4.jpg,no,n,n,1,0.8849668,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube1.jpg,yes,y,n,0,8.7100224,,Accuracy,0.2
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube2.jpg,yes,y,y,1,1.9027128,,mean_rt,1.9027128
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube4.jpg,no,n,y,0,9.8422047,,SD,NA
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube5.jpg,no,n,y,0,1.7208557,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube3.jpg,yes,y,n,0,1.2186998,,,
