test_stimulus,presence,corr_key_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,
purple,no,n,n,1,0.6467529,,Accuracy,1
red,yes,y,y,1,0.2067098,,mean_rt,0.37918832
cyan,yes,y,y,1,0.033671,,SD,0.251297803
yellow,no,n,n,1,0.4882396,,,
green,yes,y,y,1,0.5205683,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character4.png,no,n,y,0,3.8210413,,Accuracy,0.8
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character2.png,yes,y,y,1,0.8848342,,mean_rt,0.887383225
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character1.jpg,yes,y,y,1,0.7114185,,SD,0.14824346
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character5.png,no,n,n,1,1.0741714,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character3.jpg,yes,y,y,1,0.8791088,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob2.jpg,yes,y,n,0,2.0333881,,Accuracy,0.6
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob4.jpg,no,n,y,0,2.3840555,,mean_rt,1.059658767
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob3.jpg,yes,y,y,1,1.3869551,,SD,0.361442934
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob5.jpg,no,n,n,1,1.1202846,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob1.jpg,yes,y,y,1,0.6717366,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube2.jpg,yes,y,n,0,1.8513505,,Accuracy,0.4
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube3.jpg,yes,y,n,0,3.3857597,,mean_rt,1.8111983
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube5.jpg,no,n,y,0,2.3443508,,SD,0.400755172
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube1.jpg,yes,y,y,1,2.094575,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube4.jpg,no,n,n,1,1.5278216,,,
